timestamp,person,role,content,ai_reasoning
2026-04-17 21:16:11,system,mode,Mode: No AI,
,,,,
2026-04-17 21:16:11,K,pre_survey_start,,
2026-04-17 21:16:11,K,pre_survey_position_strength,4,
2026-04-17 21:16:11,K,pre_survey_openness_to_change,5,
2026-04-17 21:16:11,K,pre_survey_argument_confidence,5,
2026-04-17 21:16:11,K,pre_survey_opposing_familiarity,5,
2026-04-17 21:16:11,K,pre_survey_expects_change,No,
,,,,
2026-04-17 21:16:16,H,pre_survey_start,,
2026-04-17 21:16:16,H,pre_survey_position_strength,5,
2026-04-17 21:16:16,H,pre_survey_openness_to_change,4,
2026-04-17 21:16:16,H,pre_survey_argument_confidence,5,
2026-04-17 21:16:16,H,pre_survey_opposing_familiarity,4,
2026-04-17 21:16:16,H,pre_survey_expects_change,No,
2026-04-17 21:16:30,H,user,.,
2026-04-17 21:16:31,H,user,..,
2026-04-17 21:16:33,K,user,.,
2026-04-17 21:16:33,K,user,...,
2026-04-17 21:16:35,K,user,....,
2026-04-17 21:16:36,H,user,..,
2026-04-17 21:16:38,K,user,..,
2026-04-17 21:16:46,H,user,..,
2026-04-17 21:16:51,system,debate_ended,Debate ended by participant,
,,,,
2026-04-17 21:17:23,K,post_survey_start,,
2026-04-17 21:17:23,K,post_survey_position_strength_now,4,
2026-04-17 21:17:23,K,post_survey_position_shift,4,
2026-04-17 21:17:23,K,post_survey_shift_reason,AFDSSDAFFDAS,
2026-04-17 21:17:23,K,post_survey_conversation_productive,4,
2026-04-17 21:17:23,K,post_survey_felt_heard,5,
2026-04-17 21:17:23,K,post_survey_new_information,Yes,
2026-04-17 21:17:23,K,post_survey_new_info_influence,4,
2026-04-17 21:17:23,K,post_survey_reached_depth,No,
2026-04-17 21:17:23,K,post_survey_comfort_expressing,3,
2026-04-17 21:17:23,K,post_survey_opposing_persuasive,4,
